"","Pays","T_2","P_value"
"1","Afghanistan","2.76","1"
"2","Albania","5.533","0.914"
"3","Algeria","4.481","1"
"4","Andorra","4.321","1"
"5","Angola","0.409","1"
"6","Anguilla","0.829","1"
"7","Antigua and Barbuda","0.935","1"
"8","Argentina","0.23","1"
"9","Armenia","9.292","0.205"
"10","Aruba","0.691","1"
"11","Azerbaijan","9.386","0.203"
"12","Bahamas","2.653","1"
"13","Bahrain","9.963","0.16"
"14","Bangladesh","1.793","1"
"15","Barbados","2.335","1"
"16","Belgium","3.562","1"
"17","Belize","0.524","1"
"18","Benin","1.584","1"
"19","Bermuda","1.371","1"
"20","Bhutan","4.76","1"
"21","Bolivia","3.085","1"
"22","Bonaire Sint Eustatius and Saba","8.93","0.237"
"23","Bosnia and Herzegovina","0.069","1"
"24","Botswana","2.381","1"
"25","Brazil","1.27","1"
"26","British Virgin Islands","1.617","1"
"27","Brunei","2.671","1"
"28","Bulgaria","5.477","0.929"
"29","Burkina Faso","1.647","1"
"30","Burundi","1.482","1"
"31","Cameroon","1.9","1"
"32","Canada","3.652","1"
"33","Cape Verde","10.343","0.14"
"34","Cayman Islands","4.014","1"
"35","Central African Republic","0.11","1"
"36","Chad","3.254","1"
"37","Chile","7.108","0.475"
"38","China","9.363","0.203"
"39","Colombia","10.653","0.124"
"40","Congo","1.072","1"
"41","Costa Rica","2.865","1"
"42","Croatia","7.733","0.377"
"43","Curacao","2.43","1"
"44","Czechia","6.574","0.591"
"45","Democratic Republic of Congo","0.736","1"
"46","Denmark","8.402","0.291"
"47","Dominica","3.419","1"
"48","Dominican Republic","0.128","1"
"49","Ecuador","8.249","0.309"
"50","El Salvador","1.771","1"
"51","Equatorial Guinea","0.542","1"
"52","Eswatini","6.524","0.598"
"53","Ethiopia","10.483","0.133"
"54","Faeroe Islands","7.174","0.47"
"55","Fiji","1.382","1"
"56","Finland","10.758","0.12"
"57","France","0.344","1"
"58","French Polynesia","2.327","1"
"59","Gabon","0.958","1"
"60","Gambia","0.863","1"
"61","Georgia","0.815","1"
"62","Germany","6.086","0.73"
"63","Ghana","7.807","0.369"
"64","Greece","11.896","0.074"
"65","Greenland","2.634","1"
"66","Grenada","3.012","1"
"67","Guatemala","2.569","1"
"68","Guinea","3.714","1"
"69","Guyana","7.011","0.493"
"70","Haiti","1.627","1"
"71","Honduras","0.925","1"
"72","Hong Kong","0.93","1"
"73","Hungary","1.088","1"
"74","Iceland","11.553","0.086"
"75","India","3.648","1"
